OrderNumber,Order Quantity,Discount Applied,Unit Price,Unit Cost
SO - 000101,5,0.075,"1,963.10","1,001.18"
SO - 000102,3,0.075,"3,939.60","3,348.66"
SO - 000103,1,0.05,"1,775.50",781.22
SO - 000104,8,0.075,"2,324.90","1,464.69"
SO - 000105,8,0.1,"1,822.40","1,476.14"
SO - 000106,5,0.05,"1,038.50",446.56
SO - 000107,4,0.15,"1,192.60",536.67
SO - 000108,5,0.05,"1,815.70","1,525.19"
SO - 000109,4,0.3,"3,879.30","2,211.20"
SO - 000110,8,0.05,"1,956.40","1,212.97"
SO - 000111,6,0.1,201.00,124.62
SO - 000112,5,0.15,"6,277.90","2,762.28"
SO - 000113,5,0.05,"1,051.90",641.66
SO - 000114,6,0.15,254.60,216.41
SO - 000115,6,0.15,"3,932.90","3,146.32"
SO - 000116,3,0.05,"1,112.20",700.69
SO - 000117,3,0.075,"1,239.50",904.84
SO - 000118,4,0.1,984.90,393.96
SO - 000119,4,0.1,"5,581.10","4,130.01"
SO - 000120,4,0.05,"3,095.40","1,795.33"
SO - 000121,4,0.4,"2,278.00","1,754.06"
SO - 000122,7,0.075,991.60,654.46
SO - 000123,2,0.2,"3,979.80","3,064.45"
SO - 000124,3,0.4,"1,969.80",866.71
SO - 000125,1,0.15,268.00,131.32
SO - 000126,7,0.1,174.20,95.81
SO - 000127,3,0.075,"2,988.20","2,510.09"
SO - 000128,4,0.05,"3,999.90","2,679.93"
SO - 000129,3,0.05,"5,976.40","2,450.32"
SO - 000130,5,0.1,"2,901.10","2,378.90"
SO - 000131,7,0.075,"6,076.90","2,734.61"
SO - 000132,7,0.2,"5,735.20","4,186.70"
SO - 000133,3,0.1,"3,919.50","2,077.34"
SO - 000134,1,0.05,"6,083.60","3,832.67"
SO - 000135,5,0.075,"2,566.10","1,642.30"
SO - 000136,2,0.075,"2,278.00","1,093.44"
SO - 000137,1,0.075,261.30,120.20
SO - 000138,8,0.05,998.30,698.81
SO - 000139,6,0.2,"3,497.40","1,958.54"
SO - 000140,4,0.05,"1,132.30",486.89
SO - 000141,7,0.05,"2,405.30","1,587.50"
SO - 000142,8,0.05,"5,701.70","3,249.97"
SO - 000143,1,0.2,"2,452.20","1,446.80"
SO - 000144,3,0.05,"3,095.40","2,012.01"
