OrderNumber,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,CurrencyCode,_SalesTeamID,_CustomerID,_StoreID,_ProductID
SO - 000101,In-Store,WARE-UHY1004,31/12/2017,31/5/2018,14/6/2018,19/6/2018,USD,6,15,259,12
SO - 000102,Online,WARE-NMK1003,31/12/2017,31/5/2018,22/6/2018,2/7/2018,USD,14,20,196,27
SO - 000103,Distributor,WARE-UHY1004,31/12/2017,31/5/2018,21/6/2018,1/7/2018,USD,21,16,213,16
SO - 000104,Wholesale,WARE-NMK1003,31/12/2017,31/5/2018,2/6/2018,7/6/2018,USD,28,48,107,23
SO - 000105,Distributor,WARE-NMK1003,10/4/2018,31/5/2018,16/6/2018,26/6/2018,USD,22,49,111,26
SO - 000106,Online,WARE-PUJ1005,31/12/2017,31/5/2018,8/6/2018,13/6/2018,USD,12,21,285,1
SO - 000107,In-Store,WARE-XYS1001,31/12/2017,31/5/2018,8/6/2018,14/6/2018,USD,10,14,6,5
SO - 000108,In-Store,WARE-PUJ1005,10/4/2018,31/5/2018,26/6/2018,1/7/2018,USD,6,9,280,46
SO - 000109,In-Store,WARE-PUJ1005,31/12/2017,1/6/2018,16/6/2018,21/6/2018,USD,4,9,299,47
SO - 000110,In-Store,WARE-UHY1004,31/12/2017,1/6/2018,29/6/2018,1/7/2018,USD,10,33,261,13
SO - 000111,Distributor,WARE-XYS1001,31/12/2017,1/6/2018,15/6/2018,20/6/2018,USD,23,21,17,38
SO - 000112,In-Store,WARE-NMK1003,10/4/2018,1/6/2018,7/6/2018,17/6/2018,USD,10,21,152,40
SO - 000113,In-Store,WARE-PUJ1005,10/4/2018,1/6/2018,22/6/2018,2/7/2018,USD,4,36,317,39
SO - 000114,In-Store,WARE-PUJ1005,10/4/2018,1/6/2018,7/6/2018,15/6/2018,USD,8,17,291,32
SO - 000115,In-Store,WARE-NMK1003,31/12/2017,1/6/2018,15/6/2018,20/6/2018,USD,9,32,138,6
SO - 000116,In-Store,WARE-MKL1006,31/12/2017,1/6/2018,24/6/2018,2/7/2018,USD,5,11,354,25
SO - 000117,In-Store,WARE-PUJ1005,10/4/2018,1/6/2018,19/6/2018,27/6/2018,USD,9,10,320,6
SO - 000118,In-Store,WARE-XYS1001,10/4/2018,1/6/2018,6/6/2018,14/6/2018,USD,8,30,21,3
SO - 000119,In-Store,WARE-MKL1006,10/4/2018,1/6/2018,7/6/2018,15/6/2018,USD,5,5,349,20
SO - 000120,Online,WARE-NMK1003,31/12/2017,1/6/2018,11/6/2018,17/6/2018,USD,14,23,134,24
SO - 000121,Wholesale,WARE-NMK1003,10/4/2018,1/6/2018,18/6/2018,20/6/2018,USD,25,46,193,33
SO - 000122,In-Store,WARE-PUJ1005,10/4/2018,2/6/2018,10/6/2018,16/6/2018,USD,2,14,282,1
SO - 000123,In-Store,WARE-XYS1001,10/4/2018,2/6/2018,26/6/2018,28/6/2018,USD,7,40,20,35
SO - 000124,Distributor,WARE-UHY1004,31/12/2017,2/6/2018,22/6/2018,2/7/2018,USD,24,19,218,15
SO - 000125,In-Store,WARE-NMK1003,10/4/2018,2/6/2018,16/6/2018,24/6/2018,USD,4,15,173,13
SO - 000126,Online,WARE-NMK1003,31/12/2017,2/6/2018,21/6/2018,1/7/2018,USD,18,46,110,24
SO - 000127,In-Store,WARE-UHY1004,31/12/2017,2/6/2018,26/6/2018,6/7/2018,USD,7,32,229,46
SO - 000128,In-Store,WARE-UHY1004,31/12/2017,2/6/2018,20/6/2018,29/6/2018,USD,9,32,238,36
SO - 000129,Distributor,WARE-NMK1003,10/4/2018,2/6/2018,21/6/2018,22/6/2018,USD,20,22,97,37
SO - 000130,In-Store,WARE-NMK1003,10/4/2018,2/6/2018,27/6/2018,29/6/2018,USD,8,5,103,32
SO - 000131,In-Store,WARE-PUJ1005,10/4/2018,3/6/2018,26/6/2018,5/7/2018,USD,8,29,305,23
SO - 000132,Online,WARE-PUJ1005,31/12/2017,3/6/2018,5/6/2018,10/6/2018,USD,13,35,303,14
SO - 000133,Online,WARE-UHY1004,31/12/2017,3/6/2018,30/6/2018,10/7/2018,USD,19,46,217,7
SO - 000134,Online,WARE-MKL1006,31/12/2017,3/6/2018,30/6/2018,5/7/2018,USD,17,42,362,46
SO - 000135,Wholesale,WARE-MKL1006,10/4/2018,3/6/2018,14/6/2018,15/6/2018,USD,26,2,335,40
SO - 000136,Distributor,WARE-NBV1002,31/12/2017,3/6/2018,7/6/2018,13/6/2018,USD,22,28,84,38
SO - 000137,In-Store,WARE-UHY1004,31/12/2017,3/6/2018,14/6/2018,21/6/2018,USD,7,46,256,1
SO - 000138,Online,WARE-MKL1006,31/12/2017,3/6/2018,28/6/2018,8/7/2018,USD,12,22,360,17
SO - 000139,In-Store,WARE-NMK1003,31/12/2017,3/6/2018,13/6/2018,21/6/2018,USD,4,34,90,40
SO - 000140,In-Store,WARE-NMK1003,31/12/2017,3/6/2018,18/6/2018,28/6/2018,USD,9,26,196,25
SO - 000141,In-Store,WARE-XYS1001,31/12/2017,3/6/2018,15/6/2018,17/6/2018,USD,7,26,40,2
SO - 000142,Distributor,WARE-MKL1006,31/12/2017,3/6/2018,24/6/2018,3/7/2018,USD,24,24,367,3
SO - 000143,Distributor,WARE-UHY1004,31/12/2017,4/6/2018,9/6/2018,16/6/2018,USD,25,18,249,34
SO - 000144,In-Store,WARE-XYS1001,31/12/2017,4/6/2018,30/6/2018,4/7/2018,USD,11,21,6,11
SO - 000145,Online,WARE-UHY1004,31/12/2017,4/6/2018,12/6/2018,14/6/2018,USD,15,14,212,8
SO - 000146,Distributor,WARE-XYS1001,31/12/2017,4/6/2018,10/6/2018,15/6/2018,USD,23,3,37,11
SO - 000147,Online,WARE-XYS1001,31/12/2017,4/6/2018,21/6/2018,24/6/2018,USD,17,13,38,35
SO - 000148,Online,WARE-PUJ1005,31/12/2017,4/6/2018,19/6/2018,26/6/2018,USD,18,49,294,33
SO - 000149,Distributor,WARE-NMK1003,31/12/2017,5/6/2018,14/6/2018,17/6/2018,USD,24,4,105,16
SO - 000150,Distributor,WARE-XYS1001,10/4/2018,5/6/2018,28/6/2018,7/7/2018,USD,23,20,17,8
SO - 000151,In-Store,WARE-NMK1003,10/4/2018,5/6/2018,14/6/2018,17/6/2018,USD,4,19,109,44
SO - 000152,Online,WARE-NMK1003,10/4/2018,5/6/2018,25/6/2018,29/6/2018,USD,16,25,141,22
SO - 000153,Online,WARE-NMK1003,10/4/2018,5/6/2018,21/6/2018,1/7/2018,USD,19,8,111,16
SO - 000154,Distributor,WARE-MKL1006,31/12/2017,5/6/2018,12/6/2018,18/6/2018,USD,23,24,349,25
